,시도,어종류,연도,월,총마릿수[마리],총중량[kg]
478,강원,조피볼락(우럭),2024,05,2534.0,1475.3
479,강원,조피볼락(우럭),2024,06,2768.0,1566.0
480,강원,조피볼락(우럭),2024,07,1136.0,718.0
481,강원,조피볼락(우럭),2024,08,1079.0,382.9
482,강원,조피볼락(우럭),2024,09,1088.0,318.9
483,강원,조피볼락(우럭),2024,10,271.0,113.5
506,경기,가자미류,2023,01,0.0,0.0
507,경기,가자미류,2023,02,0.0,0.0
508,경기,가자미류,2023,03,3.0,8.0
509,경기,가자미류,2023,04,0.0,0.0
510,경기,가자미류,2023,05,4.0,13.1
511,경기,가자미류,2023,06,2.0,1.1
512,경기,가자미류,2023,07,0.0,0.0
513,경기,가자미류,2023,08,0.0,0.0
514,경기,가자미류,2023,09,0.0,0.0
515,경기,가자미류,2023,10,0.0,0.0
516,경기,가자미류,2023,11,0.0,0.0
517,경기,가자미류,2023,12,0.0,0.0
518,경기,가자미류,2024,01,0.0,0.0
519,경기,가자미류,2024,02,0.0,0.0
520,경기,가자미류,2024,03,0.0,0.0
521,경기,가자미류,2024,04,1.0,0.5
522,경기,가자미류,2024,05,1.0,0.4
523,경기,가자미류,2024,06,1.0,0.4
524,경기,가자미류,2024,07,0.0,0.0
525,경기,가자미류,2024,08,0.0,0.0
526,경기,가자미류,2024,09,0.0,0.0
527,경기,가자미류,2024,10,0.0,0.0
550,경기,감성돔,2023,01,0.0,0.0
551,경기,감성돔,2023,02,0.0,0.0
552,경기,감성돔,2023,03,0.0,0.0
553,경기,감성돔,2023,04,0.0,0.0
554,경기,감성돔,2023,05,0.0,0.0
555,경기,감성돔,2023,06,0.0,0.0
556,경기,감성돔,2023,07,0.0,0.0
557,경기,감성돔,2023,08,0.0,0.0
558,경기,감성돔,2023,09,0.0,0.0
559,경기,감성돔,2023,10,0.0,0.0
560,경기,감성돔,2023,11,0.0,0.0
561,경기,감성돔,2023,12,0.0,0.0
562,경기,감성돔,2024,01,0.0,0.0
563,경기,감성돔,2024,02,0.0,0.0
564,경기,감성돔,2024,03,0.0,0.0
565,경기,감성돔,2024,04,0.0,0.0
566,경기,감성돔,2024,05,0.0,0.0
567,경기,감성돔,2024,06,0.0,0.0
568,경기,감성돔,2024,07,0.0,0.0
569,경기,감성돔,2024,08,29.0,32.8
570,경기,감성돔,2024,09,0.0,0.0
571,경기,감성돔,2024,10,0.0,0.0
572,경기,갑오징어류,2023,01,0.0,0.0
573,경기,갑오징어류,2023,02,0.0,0.0
574,경기,갑오징어류,2023,03,0.0,0.0
575,경기,갑오징어류,2023,04,0.0,0.0
576,경기,갑오징어류,2023,05,0.0,0.0
577,경기,갑오징어류,2023,06,0.0,0.0
578,경기,갑오징어류,2023,07,22.0,31.9
579,경기,갑오징어류,2023,08,0.0,0.0
580,경기,갑오징어류,2023,09,24400.0,4427.4
581,경기,갑오징어류,2023,10,83754.0,17564.1
582,경기,갑오징어류,2023,11,18098.0,3736.4
583,경기,갑오징어류,2023,12,0.0,0.0
584,경기,갑오징어류,2024,01,0.0,0.0
585,경기,갑오징어류,2024,02,0.0,0.0
586,경기,갑오징어류,2024,03,0.0,0.0
587,경기,갑오징어류,2024,04,0.0,0.0
588,경기,갑오징어류,2024,05,0.0,0.0
589,경기,갑오징어류,2024,06,646.0,270.2
590,경기,갑오징어류,2024,07,0.0,0.0
591,경기,갑오징어류,2024,08,0.0,0.0
592,경기,갑오징어류,2024,09,48103.0,8567.3
593,경기,갑오징어류,2024,10,125225.0,24894.6
594,경기,갯장어,2023,01,0.0,0.0
595,경기,갯장어,2023,02,0.0,0.0
596,경기,갯장어,2023,03,0.0,0.0
597,경기,갯장어,2023,04,0.0,0.0
598,경기,갯장어,2023,05,0.0,0.0
599,경기,갯장어,2023,06,0.0,0.0
600,경기,갯장어,2023,07,0.0,0.0
601,경기,갯장어,2023,08,0.0,0.0
602,경기,갯장어,2023,09,0.0,0.0
603,경기,갯장어,2023,10,0.0,0.0
604,경기,갯장어,2023,11,0.0,0.0
605,경기,갯장어,2023,12,0.0,0.0
606,경기,갯장어,2024,01,0.0,0.0
607,경기,갯장어,2024,02,0.0,0.0
608,경기,갯장어,2024,03,0.0,0.0
609,경기,갯장어,2024,04,0.0,0.0
610,경기,갯장어,2024,05,0.0,0.0
611,경기,갯장어,2024,06,0.0,0.0
612,경기,갯장어,2024,07,1.0,0.5
613,경기,갯장어,2024,08,0.0,0.0
614,경기,갯장어,2024,09,0.0,0.0
615,경기,갯장어,2024,10,0.0,0.0
616,경기,기타갑각류,2023,01,0.0,0.0
617,경기,기타갑각류,2023,02,0.0,0.0
618,경기,기타갑각류,2023,03,0.0,0.0
619,경기,기타갑각류,2023,04,0.0,0.0
620,경기,기타갑각류,2023,05,0.0,0.0
621,경기,기타갑각류,2023,06,0.0,0.0
622,경기,기타갑각류,2023,07,0.0,0.0
623,경기,기타갑각류,2023,08,0.0,0.0
624,경기,기타갑각류,2023,09,0.0,0.0
625,경기,기타갑각류,2023,10,0.0,0.0
626,경기,기타갑각류,2023,11,0.0,0.0
627,경기,기타갑각류,2023,12,0.0,0.0
628,경기,기타갑각류,2024,01,0.0,0.0
629,경기,기타갑각류,2024,02,0.0,0.0
630,경기,기타갑각류,2024,03,0.0,0.0
631,경기,기타갑각류,2024,04,0.0,0.0
632,경기,기타갑각류,2024,05,0.0,0.0
633,경기,기타갑각류,2024,06,0.0,0.0
634,경기,기타갑각류,2024,07,0.0,0.0
635,경기,기타갑각류,2024,08,0.0,0.0
636,경기,기타갑각류,2024,09,13.0,1.8
637,경기,기타갑각류,2024,10,0.0,0.0
638,경기,기타돔류,2023,01,0.0,0.0
639,경기,기타돔류,2023,02,0.0,0.0
640,경기,기타돔류,2023,03,0.0,0.0
641,경기,기타돔류,2023,04,0.0,0.0
642,경기,기타돔류,2023,05,0.0,0.0
643,경기,기타돔류,2023,06,0.0,0.0
644,경기,기타돔류,2023,07,0.0,0.0
645,경기,기타돔류,2023,08,0.0,0.0
646,경기,기타돔류,2023,09,0.0,0.0
647,경기,기타돔류,2023,10,0.0,0.0
648,경기,기타돔류,2023,11,0.0,0.0
649,경기,기타돔류,2023,12,0.0,0.0
650,경기,기타돔류,2024,01,0.0,0.0
651,경기,기타돔류,2024,02,0.0,0.0
652,경기,기타돔류,2024,03,0.0,0.0
653,경기,기타돔류,2024,04,0.0,0.0
654,경기,기타돔류,2024,05,0.0,0.0
655,경기,기타돔류,2024,06,1.0,1.8
656,경기,기타돔류,2024,07,0.0,0.0
657,경기,기타돔류,2024,08,0.0,0.0
658,경기,기타돔류,2024,09,0.0,0.0
659,경기,기타돔류,2024,10,1.0,2.3
660,경기,기타볼락류,2023,01,0.0,0.0
661,경기,기타볼락류,2023,02,0.0,0.0
662,경기,기타볼락류,2023,03,43.0,8.6
663,경기,기타볼락류,2023,04,155.0,37.6
664,경기,기타볼락류,2023,05,8.0,1.1
665,경기,기타볼락류,2023,06,736.0,186.8
666,경기,기타볼락류,2023,07,59.0,19.0
667,경기,기타볼락류,2023,08,205.0,48.9
668,경기,기타볼락류,2023,09,0.0,0.0
669,경기,기타볼락류,2023,10,0.0,0.0
670,경기,기타볼락류,2023,11,0.0,0.0
671,경기,기타볼락류,2023,12,120.0,29.3
672,경기,기타볼락류,2024,01,0.0,0.0
673,경기,기타볼락류,2024,02,4.0,0.6
674,경기,기타볼락류,2024,03,18.0,4.0
675,경기,기타볼락류,2024,04,9.0,2.5
676,경기,기타볼락류,2024,05,76.0,22.2
677,경기,기타볼락류,2024,06,29.0,9.9
678,경기,기타볼락류,2024,07,4.0,0.8
679,경기,기타볼락류,2024,08,45.0,10.2
680,경기,기타볼락류,2024,09,0.0,0.0
681,경기,기타볼락류,2024,10,0.0,0.0
704,경기,꽃게,2023,01,0.0,0.0
705,경기,꽃게,2023,02,0.0,0.0
706,경기,꽃게,2023,03,0.0,0.0
707,경기,꽃게,2023,04,0.0,0.0
708,경기,꽃게,2023,05,0.0,0.0
709,경기,꽃게,2023,06,0.0,0.0
710,경기,꽃게,2023,07,0.0,0.0
711,경기,꽃게,2023,08,0.0,0.0
712,경기,꽃게,2023,09,64.0,17.5
713,경기,꽃게,2023,10,8.0,2.3
714,경기,꽃게,2023,11,7.0,3.1
715,경기,꽃게,2023,12,0.0,0.0
716,경기,꽃게,2024,01,0.0,0.0
717,경기,꽃게,2024,02,0.0,0.0
718,경기,꽃게,2024,03,0.0,0.0
719,경기,꽃게,2024,04,0.0,0.0
720,경기,꽃게,2024,05,0.0,0.0
721,경기,꽃게,2024,06,0.0,0.0
722,경기,꽃게,2024,07,0.0,0.0
723,경기,꽃게,2024,08,0.0,0.0
724,경기,꽃게,2024,09,4.0,1.2
725,경기,꽃게,2024,10,43.0,13.8
726,경기,낙지류,2023,01,0.0,0.0
727,경기,낙지류,2023,02,0.0,0.0
728,경기,낙지류,2023,03,0.0,0.0
729,경기,낙지류,2023,04,0.0,0.0
730,경기,낙지류,2023,05,0.0,0.0
731,경기,낙지류,2023,06,0.0,0.0
732,경기,낙지류,2023,07,0.0,0.0
733,경기,낙지류,2023,08,0.0,0.0
734,경기,낙지류,2023,09,157.0,41.2
735,경기,낙지류,2023,10,250.0,47.7
736,경기,낙지류,2023,11,3067.0,365.6
737,경기,낙지류,2023,12,0.0,0.0
738,경기,낙지류,2024,01,0.0,0.0
739,경기,낙지류,2024,02,0.0,0.0
740,경기,낙지류,2024,03,0.0,0.0
741,경기,낙지류,2024,04,0.0,0.0
742,경기,낙지류,2024,05,0.0,0.0
743,경기,낙지류,2024,06,0.0,0.0
744,경기,낙지류,2024,07,0.0,0.0
745,경기,낙지류,2024,08,0.0,0.0
746,경기,낙지류,2024,09,12.0,1.3
747,경기,낙지류,2024,10,1.0,0.1
748,경기,넙치류(광어),2023,01,2.0,1.0
749,경기,넙치류(광어),2023,02,0.0,0.0
750,경기,넙치류(광어),2023,03,93.0,400.1
751,경기,넙치류(광어),2023,04,1094.0,2844.8
752,경기,넙치류(광어),2023,05,5433.0,17056.5
753,경기,넙치류(광어),2023,06,2640.0,4562.4
754,경기,넙치류(광어),2023,07,1090.0,1902.9
755,경기,넙치류(광어),2023,08,750.0,1316.3
756,경기,넙치류(광어),2023,09,70.0,67.3
757,경기,넙치류(광어),2023,10,122.0,92.0
758,경기,넙치류(광어),2023,11,170.0,134.0
759,경기,넙치류(광어),2023,12,160.0,271.8
760,경기,넙치류(광어),2024,01,0.0,0.0
761,경기,넙치류(광어),2024,02,0.0,0.0
762,경기,넙치류(광어),2024,03,1.0,1.2
763,경기,넙치류(광어),2024,04,1367.0,3082.0
764,경기,넙치류(광어),2024,05,7565.0,17208.4
765,경기,넙치류(광어),2024,06,2742.0,5481.4
766,경기,넙치류(광어),2024,07,1125.0,1522.5
767,경기,넙치류(광어),2024,08,1200.0,1788.7
768,경기,넙치류(광어),2024,09,97.0,59.5
769,경기,넙치류(광어),2024,10,156.0,199.4
792,경기,농어류,2023,01,0.0,0.0
793,경기,농어류,2023,02,0.0,0.0
794,경기,농어류,2023,03,0.0,0.0
795,경기,농어류,2023,04,2.0,9.3
796,경기,농어류,2023,05,379.0,1836.1
797,경기,농어류,2023,06,2271.0,11677.5
798,경기,농어류,2023,07,777.0,3041.3
799,경기,농어류,2023,08,709.0,1859.4
800,경기,농어류,2023,09,496.0,1270.7
801,경기,농어류,2023,10,609.0,1281.3
802,경기,농어류,2023,11,14.0,10.3
803,경기,농어류,2023,12,0.0,0.0
804,경기,농어류,2024,01,0.0,0.0
805,경기,농어류,2024,02,0.0,0.0
806,경기,농어류,2024,03,0.0,0.0
807,경기,농어류,2024,04,3.0,1.1
808,경기,농어류,2024,05,686.0,2486.9
809,경기,농어류,2024,06,2312.0,8008.9
810,경기,농어류,2024,07,921.0,3038.1
811,경기,농어류,2024,08,486.0,1528.4
812,경기,농어류,2024,09,42.0,184.4
813,경기,농어류,2024,10,108.0,319.5
814,경기,돌돔(줄돔),2023,01,0.0,0.0
815,경기,돌돔(줄돔),2023,02,0.0,0.0
816,경기,돌돔(줄돔),2023,03,0.0,0.0
817,경기,돌돔(줄돔),2023,04,0.0,0.0
818,경기,돌돔(줄돔),2023,05,0.0,0.0
819,경기,돌돔(줄돔),2023,06,0.0,0.0
820,경기,돌돔(줄돔),2023,07,0.0,0.0
821,경기,돌돔(줄돔),2023,08,0.0,0.0
822,경기,돌돔(줄돔),2023,09,0.0,0.0
823,경기,돌돔(줄돔),2023,10,0.0,0.0
824,경기,돌돔(줄돔),2023,11,3.0,0.6
825,경기,돌돔(줄돔),2023,12,0.0,0.0
826,경기,돌돔(줄돔),2024,01,0.0,0.0
827,경기,돌돔(줄돔),2024,02,0.0,0.0
828,경기,돌돔(줄돔),2024,03,0.0,0.0
829,경기,돌돔(줄돔),2024,04,0.0,0.0
830,경기,돌돔(줄돔),2024,05,0.0,0.0
831,경기,돌돔(줄돔),2024,06,0.0,0.0
832,경기,돌돔(줄돔),2024,07,0.0,0.0
833,경기,돌돔(줄돔),2024,08,0.0,0.0
834,경기,돌돔(줄돔),2024,09,0.0,0.0
835,경기,돌돔(줄돔),2024,10,0.0,0.0
836,경기,민어,2023,01,0.0,0.0
837,경기,민어,2023,02,0.0,0.0
838,경기,민어,2023,03,0.0,0.0
839,경기,민어,2023,04,0.0,0.0
840,경기,민어,2023,05,0.0,0.0
841,경기,민어,2023,06,0.0,0.0
842,경기,민어,2023,07,1.0,3.7
843,경기,민어,2023,08,4.0,4.2
844,경기,민어,2023,09,0.0,0.0
845,경기,민어,2023,10,0.0,0.0
846,경기,민어,2023,11,0.0,0.0
847,경기,민어,2023,12,0.0,0.0
848,경기,민어,2024,01,0.0,0.0
849,경기,민어,2024,02,0.0,0.0
850,경기,민어,2024,03,0.0,0.0
851,경기,민어,2024,04,0.0,0.0
852,경기,민어,2024,05,1.0,3.8
853,경기,민어,2024,06,6.0,41.1
854,경기,민어,2024,07,4.0,12.7
855,경기,민어,2024,08,0.0,0.0
856,경기,민어,2024,09,1.0,1.5
857,경기,민어,2024,10,1.0,2.2
880,경기,복어류,2023,01,0.0,0.0
881,경기,복어류,2023,02,0.0,0.0
882,경기,복어류,2023,03,0.0,0.0
883,경기,복어류,2023,04,0.0,0.0
884,경기,복어류,2023,05,4.0,2.2
