시도,어종명,항목,단위,2023.01 월,2023.02 월,2023.03 월,2023.04 월,2023.05 월,2023.06 월,2023.07 월,2023.08 월,2023.09 월,2023.10 월,2023.11 월,2023.12 월,2024.01 월,2024.02 월,2024.03 월,2024.04 월,2024.05 월,2024.06 월,2024.07 월,2024.08 월,2024.09 월,2024.10 월
부산,문어류,총마릿수[마리],마리,23,,,,,,431,565,1646,1736,766,133,9,158,1740,1047,526,,2521,1034,1753,3211
부산,문어류,총중량[kg],kg,38.7,,,,,,790.4,144,519.5,806.6,476,184,15,197.8,2507.9,1337.2,493.3,,1484.5,798.8,1093.7,2075.2
부산,살오징어,총마릿수[마리],마리,,46,,,,,,,,786,,,558,,3,,251,3183,510,81,289,480
부산,살오징어,총중량[kg],kg,,11.5,,,,,,,,311.3,,,83,,0.5,,171.6,697.2,103.7,33.6,159.3,185.5
부산,한치류,총마릿수[마리],마리,,,,,21920,143563,15687,7,,1418,1988,,,,,219,17785,151351,10954,1276,1746,
부산,한치류,총중량[kg],kg,,,,,6065.6,22921.4,5748.8,3.6,,174.5,298.7,,,,,31.2,3722.2,35385.1,1523.1,177.2,229.8,
부산,기타,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,27,,,,
부산,기타,총중량[kg],kg,,,,,,,,,,,,,,,,,,5.4,,,,
인천,넙치류(광어),총마릿수[마리],마리,,,,1548,11640,2771,1902,3187,232,501,4516,627,,,177,4669,24496,6575,3779,5365,1214,1405
인천,넙치류(광어),총중량[kg],kg,,,,5527.9,39836.2,4586.6,3015.6,5166.4,250.7,516.3,4276.8,615.4,,,217.4,8401.2,50326.3,10496.3,4168.9,5596.4,2381.3,1877.7
인천,농어류,총마릿수[마리],마리,,,,48,540,4079,3642,3249,670,262,961,3,,,,4,371,3082,2341,2873,802,264
인천,농어류,총중량[kg],kg,,,,48,1489,5365,4895.9,5877.5,1026.4,455.1,937.6,3,,,,10.9,978.4,7794.9,5980.8,5889.4,1355,430.5
인천,대구,총마릿수[마리],마리,,,,,,,,,,,,,,,8,,,,,,,
인천,대구,총중량[kg],kg,,,,,,,,,,,,,,,16.9,,,,,,,
인천,감성돔,총마릿수[마리],마리,,,,,,,5,,,,,,,,,,,,,,9,5
인천,감성돔,총중량[kg],kg,,,,,,,5.9,,,,,,,,,,,,,,5.6,2.1
인천,참돔,총마릿수[마리],마리,,,,,818,6614,2133,429,194,,,,,,,17,4318,8037,1782,2195,37,
인천,참돔,총중량[kg],kg,,,,,2106.7,10415.3,3662,833.9,265.6,,,,,,,28.1,6682.3,10181.3,2057.3,3308.9,49.7,
인천,기타돔류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,6,,
인천,기타돔류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,4.4,,
인천,민어,총마릿수[마리],마리,,,,,,,,33,6,,,,,,,,,8,17,9,2,13
인천,민어,총중량[kg],kg,,,,,,,,249.6,18.8,,,,,,,,,30.2,142,22.7,8.9,13.5
인천,방어류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,3,20,,,
인천,방어류,총중량[kg],kg,,,,,,,,,,,,,,,,,,4.1,32.7,,,
인천,보구치,총마릿수[마리],마리,,,,,,893,1302,5122,,,,,,,,,,112,6847,10335,4,
인천,보구치,총중량[kg],kg,,,,,,452.1,693.7,3919.8,,,,,,,,,,29.3,2029.9,2593.2,1.8,
인천,복어류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,,6353,
인천,복어류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,,317.6,
인천,조피볼락(우럭),총마릿수[마리],마리,43,,2406,15759,16811,17309,7540,8479,4189,7518,7632,1834,7208,,3696,24920,28314,43865,18525,20212,2405,8015
인천,조피볼락(우럭),총중량[kg],kg,37.9,,1808.5,15360.9,16513.7,10440.9,3971.2,3828.8,1314.7,3911.8,3576,1110.8,5045.8,,3531.2,15253.1,23018,30564.6,10803.1,11898.3,1053.9,3854
인천,기타볼락류,총마릿수[마리],마리,,,166,791,1005,479,245,1250,148,,,,,,121,71,422,499,67,223,,
인천,기타볼락류,총중량[kg],kg,,,16.6,79.1,100.5,33.6,18.2,91,17.9,,,,,,16.9,17.8,133,112.4,20.6,112.8,,
인천,노래미류,총마릿수[마리],마리,,,1259,10248,8165,10930,4111,3786,267,1836,,104,475,,869,7157,10067,17585,3063,2567,68,155
인천,노래미류,총중량[kg],kg,,,716.6,8852.4,5776.3,5205.3,2268.1,1480,94.6,1019.8,,50.7,237.7,,452.3,2909.7,4388.8,7545.4,1414.1,1350.2,13.3,60.6
인천,부세,총마릿수[마리],마리,,,,,,,26,,,,,,,,,,,,,2,,
인천,부세,총중량[kg],kg,,,,,,,1.3,,,,,,,,,,,,,3.7,,
인천,삼치류,총마릿수[마리],마리,,,,,,,23,,,,,,,,,,3,,3,,,
인천,삼치류,총중량[kg],kg,,,,,,,23.1,,,,,,,,,,5.3,,8.5,,,
인천,서대류,총마릿수[마리],마리,,,,,,,,24,,,,,,,,,,,,,,
인천,서대류,총중량[kg],kg,,,,,,,,19.5,,,,,,,,,,,,,,
인천,성대류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,3,,,
인천,성대류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,0.9,,,
인천,삼세기,총마릿수[마리],마리,,,,,,,,,,,,,,,3,,,,,,,
인천,삼세기,총중량[kg],kg,,,,,,,,,,,,,,,0.8,,,,,,,
인천,숭어류,총마릿수[마리],마리,,,,,2853,620,1029,488,760,16,375,,,,2,387,403,942,417,985,1654,2406
인천,숭어류,총중량[kg],kg,,,,,1988,652.5,972.5,464.1,743,16.3,750.1,,,,0.4,463.9,495.2,844.2,292.1,860.5,1430.2,2566.5
인천,양태류,총마릿수[마리],마리,,,,84,126,286,994,246,47,345,,,,,,337,3050,758,478,369,80,151
인천,양태류,총중량[kg],kg,,,,260,83.9,154.5,551.5,128.6,31.3,206.1,,,,,,138.9,1812.5,457.2,142.2,141.5,36.9,75.2
인천,붕장어,총마릿수[마리],마리,,,,,,,,,6,98,1054,95,,,,,,5,9,5,,12
인천,붕장어,총중량[kg],kg,,,,,,,,,1.2,22.8,187.4,38.1,,,,,,2.7,3.7,2.4,,4.8
인천,기타조기류,총마릿수[마리],마리,,,,,,,,31,,,,,,,,,,5,121,53,2,
인천,기타조기류,총중량[kg],kg,,,,,,,,20.3,,,,,,,,,,2.1,44.4,26.7,1.8,
인천,홍어류,총마릿수[마리],마리,,,,,,,5,,,,,,,,,3,,3,,,,
인천,홍어류,총중량[kg],kg,,,,,,,1.3,,,,,,,,,0.6,,2.7,,,,
인천,기타어류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,5,,,,
인천,기타어류,총중량[kg],kg,,,,,,,,,,,,,,,,,,2.7,,,,
인천,기타갑각류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,,,3319
인천,기타갑각류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,,,1209.9
인천,갑오징어류,총마릿수[마리],마리,,,,,,183,946,,134467,412778,61764,,,,,,,1707,250,,329738,682106
인천,갑오징어류,총중량[kg],kg,,,,,,53.8,385.1,,28015,100585.9,15532.1,,,,,,,765.2,43.5,,52470.1,134672.8
인천,낙지류,총마릿수[마리],마리,,,,,,,,,,,220,,,,8,,,,,,,
인천,낙지류,총중량[kg],kg,,,,,,,,,,,40.6,,,,1.2,,,,,,,
인천,주꾸미,총마릿수[마리],마리,,,1132,9854,,,,,1811599,578229,154481,,,,918,2882,,,,,5369176,1611687
인천,주꾸미,총중량[kg],kg,,,327.1,1500.3,,,,,66494.4,37303.6,11757.4,,,,65.6,173.9,,,,,217018.8,81757.4
울산,가오리류,총마릿수[마리],마리,,,,,,,,,,,,1,,,,3,1,,,,,
울산,가오리류,총중량[kg],kg,,,,,,,,,,,,0.7,,,,0.8,0.4,,,,,
울산,가자미류,총마릿수[마리],마리,4,12,7,,5,,3,,,,12,,5,16,9,11,11,3,19,15,4,
울산,가자미류,총중량[kg],kg,2.5,9.7,6,,5.4,,1.3,,,,9.4,,2.5,2.9,4.5,2.4,3.8,0.3,2.6,2.4,0.5,
울산,갈치,총마릿수[마리],마리,,,,,,33,,,3009,5159,,,,,,,,,,,,
울산,갈치,총중량[kg],kg,,,,,,3.3,,,458.9,1281.2,,,,,,,,,,,,
울산,고등어,총마릿수[마리],마리,526,492,7,,7,667,1449,928,167,105,185,149,30,50,79,75,,472,152,349,11,
울산,고등어,총중량[kg],kg,134.2,125.4,1.7,,3.3,154.6,383.1,201.6,43.2,16.5,41.4,39.2,3,7.3,12.5,12.9,,78.2,35.5,123.9,2.7,
울산,꽁치,총마릿수[마리],마리,,,,,,,,,,,,,,,133,,,,,,,
울산,꽁치,총중량[kg],kg,,,,,,,,,,,,,,,6.7,,,,,,,
울산,학공치,총마릿수[마리],마리,,49,,,,,,,,,,566,1162,208,487,75,,,,,,
울산,학공치,총중량[kg],kg,,8.9,,,,,,,,,,87.4,128.4,30.2,65.3,10.5,,,,,,
울산,넙치류(광어),총마릿수[마리],마리,,,,,,3,13,2,,5,,,,,,,,15,,,,
울산,넙치류(광어),총중량[kg],kg,,,,,,10.5,22.6,4.2,,15,,,,,,,,24.8,,,,
울산,농어류,총마릿수[마리],마리,5,,3,,,10,148,22,3,17,40,18,,,11,27,44,137,221,100,12,1
울산,농어류,총중량[kg],kg,10.8,,3.3,,,22.4,189.3,54.8,8.3,35.8,71.2,33.3,,,18.7,62.5,59.7,355.5,729.7,279.2,28,1.2
울산,능성어,총마릿수[마리],마리,,,,,,,2,3,3,2,,,,,1,,,,,,,8
울산,능성어,총중량[kg],kg,,,,,,,3.4,1.3,3.5,1.7,,,,,1.3,,,,,,,5.5
울산,참다랑어,총마릿수[마리],마리,,,,,,,,,,3,,2,2,,,,,,,,,4
울산,참다랑어,총중량[kg],kg,,,,,,,,,,10,,2.5,5,,,,,,,,,4
울산,기타다랑어류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,,,,,24,34
울산,기타다랑어류,총중량[kg],kg,,,,,,,,,,,,,,,,,,,,,62.1,30.1
울산,감성돔,총마릿수[마리],마리,103,36,113,,40,10,8,17,32,157,144,91,132,135,71,26,,,2,24,101,133
울산,감성돔,총중량[kg],kg,74.3,33.7,76,,21.7,12.8,12.5,13.5,36.5,106.4,159.1,98.9,184.8,118,95.1,29.9,,,2.7,29,87.4,147
울산,자리돔,총마릿수[마리],마리,,,,,,,2,,,,,,,,,,,,,,,
울산,자리돔,총중량[kg],kg,,,,,,,0.2,,,,,,,,,,,,,,,
울산,참돔,총마릿수[마리],마리,103,83,,,626,1372,600,243,691,516,262,248,26,17,85,249,741,1253,108,836,420,100
울산,참돔,총중량[kg],kg,129.4,115.9,,,554.9,986,882.9,237,362.4,376,347,191.2,30.8,33.8,88.6,269.3,554.1,975.2,104.1,601.2,202.2,132.2
울산,돌돔(줄돔),총마릿수[마리],마리,26,,,,11,30,15,29,188,1678,1151,5,,,,3,1,3,,,2,23
울산,돌돔(줄돔),총중량[kg],kg,17.5,,,,24.3,16.9,7.2,15.6,60.8,695.7,455.8,2.7,,,,3.1,1.3,1.1,,,2,16.9
울산,기타돔류,총마릿수[마리],마리,528,608,696,518,1367,3230,1421,1180,1541,1545,3038,2276,1469,245,1539,2609,4005,3839,768,1084,1521,2403
울산,기타돔류,총중량[kg],kg,129.3,253.2,314.5,164,664,985.6,557.4,374.7,383.5,453.4,1048.5,587.2,448.6,82,345.9,648.5,1004.6,1063.1,204,288.1,461.9,786.2
울산,방어류,총마릿수[마리],마리,142,40,,,,44,146,446,385,832,1486,228,12,,2,5,64,378,41,1019,771,1475
울산,방어류,총중량[kg],kg,383.4,181.1,,,,80.5,322.4,1010.9,666.6,2259.7,5032,686.6,30,,3.3,12,156.1,534.5,91.4,1517.9,1623.7,3334
울산,보구치,총마릿수[마리],마리,,,,,,,,,,,,,,,23,,,,,,,
울산,보구치,총중량[kg],kg,,,,,,,,,,,,,,,2,,,,,,,
울산,복어류,총마릿수[마리],마리,,,,,,2,,3,,2,20,,,,,,,,,,,
울산,복어류,총중량[kg],kg,,,,,,0.5,,1.7,,1.3,9.9,,,,,,,,,,,
울산,조피볼락(우럭),총마릿수[마리],마리,5,386,,,,,13,,8,,52,83,19,20,37,129,21,29,,19,,
울산,조피볼락(우럭),총중량[kg],kg,27,344.2,,,,,26.7,,5,,91.9,104.4,22.5,22.3,54,221.2,27.7,27.2,,21.7,,
울산,기타볼락류,총마릿수[마리],마리,22818,13599,,,273,299,68,16,50,11,448,7363,9980,5705,1966,923,663,423,372,613,170,114
울산,기타볼락류,총중량[kg],kg,5351.1,3316.9,,,101.9,105,51.4,5.1,12.2,3,116.8,1762.3,2221.2,1295.7,584.6,229.1,158.8,140.8,78.5,152.1,38.9,29.1
울산,노래미류,총마릿수[마리],마리,19,,3,,3,273,109,3,,,,4,52,7,,14,3,7,2,1,,
울산,노래미류,총중량[kg],kg,1.5,,3.3,,1.7,50.8,11.7,3.4,,,,1.4,4.6,2.6,,12,2.5,1.9,2.1,0.2,,
울산,삼치류,총마릿수[마리],마리,,,,,,,,142,35,403,48,50,28,,,,,,,118,663,364
울산,삼치류,총중량[kg],kg,,,,,,,,365.6,60,983.7,190,170.4,145,,,,,,,359.8,1890.9,1197.5
울산,성대류,총마릿수[마리],마리,11,11,17,,17,617,460,,,24,76,128,47,27,15,12,286,447,236,144,,4
울산,성대류,총중량[kg],kg,4.4,3.6,6.7,,3.3,110,129,,,5,22.1,23,15.3,6,4.1,3.9,85.6,136.6,68.9,41.1,,1
울산,숭어류,총마릿수[마리],마리,36,,10,,,,,50,5,27,17,10,,12,3,,,36,,,126,28
울산,숭어류,총중량[kg],kg,46.8,,13.3,,,,,36.7,4.2,26.7,11.7,8.3,,12.7,2.7,,,37.6,,,157,38.1
울산,아귀류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,1,,,,,
울산,아귀류,총중량[kg],kg,,,,,,,,,,,,,,,,,0.4,,,,,
울산,양태류,총마릿수[마리],마리,,,,,,,,,,,,,,,,,7,,,,,
울산,양태류,총중량[kg],kg,,,,,,,,,,,,,,,,,4,,,,,
울산,붕장어,총마릿수[마리],마리,,,10,,,67,8,,14,6,,,70,,77,72,7,11,,,18,
울산,붕장어,총중량[kg],kg,,,1.7,,,24.2,4.2,,14.4,3,,,34.7,,30.4,56.3,4,6.5,,,4.3,
울산,전갱이류,총마릿수[마리],마리,1170,2200,23,,162,1214,1167,623,1846,1134,1341,611,401,721,2208,1783,1281,3615,739,895,555,647
울산,전갱이류,총중량[kg],kg,226,424.4,6.7,,45.9,209.8,411.7,170.2,276.1,252.5,444.6,177.9,115.3,182.9,334.5,203.6,235.5,762.9,166.2,257,145.3,155.3
울산,쥐치류,총마릿수[마리],마리,22,,,,,16,23,23,3,510,680,221,,,,,,65,,11,1,14
울산,쥐치류,총중량[kg],kg,14,,,,,4.2,8.2,4.2,1.7,169.8,339.5,32.1,,,,,,21.3,,3.4,0.1,6.9
울산,청어,총마릿수[마리],마리,,,,,,,,,,,,,,,,18,,,,,,
울산,청어,총중량[kg],kg,,,,,,,,,,,,,,,,2.8,,,,,,
울산,기타어류,총마릿수[마리],마리,,39,293,,,89,17,,200,675,104,230,316,224,156,114,443,77,48,213,139,245
울산,기타어류,총중량[kg],kg,,3.3,87.5,,,14,4,,15,85.1,10.8,25.7,26.2,19.7,34,11.6,68.2,21.3,5.3,20.6,12.1,26.3
울산,갑오징어류,총마릿수[마리],마리,,,,215,3207,13,,,,,,,,,,959,926,44,,,,
울산,갑오징어류,총중량[kg],kg,,,,85,1939,8.8,,,,,,,,,,387,379.2,20.1,,,,
울산,낙지류,총마릿수[마리],마리,,,,,,,,,,,,,,,,2,,,,,,
울산,낙지류,총중량[kg],kg,,,,,,,,,,,,,,,,0.2,,,,,,
울산,문어류,총마릿수[마리],마리,,,,,5,,,,,13,,3,,,,30,14,,1,,,27
울산,문어류,총중량[kg],kg,,,,,10,,,,,7.5,,1.4,,,,47.8,13.9,,0.9,,,11.6
울산,주꾸미,총마릿수[마리],마리,,,,,,,,,,,,,,,,7,14,,,,,
울산,주꾸미,총중량[kg],kg,,,,,,,,,,,,,,,,0.9,0.4,,,,,
울산,살오징어,총마릿수[마리],마리,,,,,,28,,253,1260,664,,,,,,,,,,21,628,2017
울산,살오징어,총중량[kg],kg,,,,,,10.8,,116.6,475,319.8,,,,,,,,,,11.6,233.3,821.4
