시도,어종류,연도,월,어획량_마리,어획량_Kg,품종,방류량,방류구분
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,5000.0,매입방류
강원,갯장어,2022,7,0.0,0.0,뱀장어,19422.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,1280.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,1280.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,1279.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,3678.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,4293.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,1785.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,1785.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,12000.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,12000.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,12000.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,12000.0,매입방류
강원,갯장어,2023,1,0.0,0.0,뱀장어,12000.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,3733.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,3795.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,9824.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,1848.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,1300.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,1000.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,1300.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,1300.0,매입방류
강원,갯장어,2023,6,0.0,0.0,뱀장어,1000.0,매입방류
강원,갯장어,2023,7,0.0,0.0,뱀장어,31712.0,매입방류
강원,갯장어,2023,7,0.0,0.0,뱀장어,19608.0,매입방류
강원,갯장어,2023,7,0.0,0.0,뱀장어,12000.0,무상방류
강원,기타,2022,1,0.0,0.0,미유기,20000.0,무상방류
강원,기타,2022,4,0.0,0.0,뚝지,283905.0,매입방류
강원,기타,2022,4,0.0,0.0,뚝지,210000.0,무상방류
강원,기타,2022,4,0.0,0.0,뚝지,210000.0,생산방류
강원,기타,2022,4,0.0,0.0,뚝지,210000.0,생산방류
강원,기타,2022,4,0.0,0.0,뚝지,210000.0,생산방류
강원,기타,2022,4,0.0,0.0,뚝지,279329.0,매입방류
강원,기타,2022,4,0.0,0.0,뚝지,279329.0,매입방류
강원,기타,2022,4,0.0,0.0,뚝지,320000.0,매입방류
강원,기타,2022,4,0.0,0.0,뚝지,279571.0,매입방류
강원,기타,2022,4,0.0,0.0,뚝지,198824.0,매입방류
강원,기타,2022,5,0.0,0.0,미유기,24610.0,매입방류
강원,기타,2022,5,0.0,0.0,전복,146342.0,매입방류
강원,기타,2022,6,0.0,0.0,대농갱이,82305.0,매입방류
강원,기타,2022,6,0.0,0.0,미유기,22222.0,매입방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,무상방류
강원,기타,2022,6,0.0,0.0,미유기,24610.0,매입방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,무상방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,6,0.0,0.0,미유기,20000.0,생산방류
강원,기타,2022,7,0.0,0.0,메기,183672.0,매입방류
강원,기타,2022,8,0.0,0.0,대농갱이,50000.0,무상방류
